category,case_id,analysis_role,nim,nina,token_id,tx_hash,receipt_status,gas_used,block_number,status
matrix_direct_revoke,V-SETUP-B2,core_matrix_setup,20210003,040410582605002,1003,0x75eca50c162dfe82dcdbfcf0ca63f0a570c4359c044f7de8f9ea736bd017798a,1,87038,44444965,pass
matrix_direct_revoke,V-SETUP-B2,core_matrix_setup,20210004,040410582605003,1004,0x764dbfb28c5e159788d3ef8b83c097f23713bd8983d750f9999033e0da0d794c,1,87038,44444967,pass
matrix_direct_revoke,V-SETUP-B2,core_matrix_setup,20210005,040410582605004,1030,0x41d603ff0f99e335217ff814ae857a5a44c661cfd384548f2eb24c2844d9a485,1,87038,44444969,pass
cascading_revoke,REV-NORMAL-3,core_revoke,20210015,040410582605014,1014,0xc001940144a7fe28b9e02d3b8fe88b15735911f859db92a9f0c3f6651dff05c1,1,133700,44445381,pass
cascading_revoke,REV-NORMAL-5,core_revoke,20210017,040410582605016,1016,0x009e92b209ed3df72e1d02f9c2be1156003ccdc1ccb935f22c24ae079d6dc411,1,133700,44445386,pass
cascading_revoke,REV-SYNCFAIL-1,core_revoke,20210018,040410582605017,1017,0x1045c07a7534e5936061a4bdb9df586350c5ed4c51bf4745fe0458fe87c095d8,1,133724,44445391,pass
cascading_revoke,REV-SYNCFAIL-2,core_revoke,20210019,040410582605018,1018,0x0413500f27251acd5a5630cec383ae0af977854fbbccb3c00bf38ef7c8b1fb11,1,133724,44445399,pass
cascading_revoke,REV-SYNCFAIL-3,core_revoke,20210020,040410582605019,1019,0x6d6c6796e41534af87c6170a683c34c040b104d5b5777b59572eeb906da77065,1,133724,44445406,pass
cascading_revoke,REV-SYNCFAIL-4,core_revoke,20210021,040410582605020,1020,0x6a10a7f4ff2eeaf34fb10bc47d4514af9ad6d92579b60d2e08b67c96aa29912a,1,133724,44445412,pass
cascading_revoke,REV-SYNCFAIL-5,core_revoke,20210022,040410582605021,1021,0xd92c49efbfdd92dab149dd3971057596dfaf12e1ee5ac04fe3ad47bb6a6700da,1,133724,44445418,pass
cascading_revoke,REV-NORMAL-1,core_revoke,20210013,040410582605012,1012,0xac6b80a302daaf2de5e9cbb154ce3233d19b828d1b2e4953984967e8232fc406,1,133700,44445573,pass
cascading_revoke,REV-NORMAL-4,core_revoke,20210016,040410582605015,1015,0x4d3d733df9b0cbd0f0656ba51948aa67b675ab1ff7db8ec21969e91f51d0c892,1,133700,44445580,pass
cascading_revoke,REV-NORMAL-2R,core_revoke,20210023,040410582605022,1022,0xb42522272c1decd4fb200eb4541fc5d04336475cb4dba427af01fff7b15e2b87,1,133712,44445799,pass
rpc_receipt_timeout_recovery,REV-RPC-RECOVERY-1,auxiliary_recovery_after_rpc_receipt_timeout,20210014,040410582605013,1013,0x118752ceeb42d339ecda6f2b0147e2d80f18a1aae0154d37ee994a67b364a3e9,1,133700,44445576,pass
