domain,experiment,unit,total,passed,failed,scr_percent,analysis_role
functional,manual_single,credential,1,1,0,100,final
functional,automated_first_pass,credential,29,28,1,96.5517,final_first_pass
functional,automated_eventual,credential,29,29,0,100,final_with_recovery
functional,overall_eventual,credential,30,30,0,100,final_with_recovery
functional,automated_steps_primary_plus_retry,step_attempt,207,206,1,99.5169,final_with_recovery
smart_contract,batch_mint,batch,10,10,0,100,final
smart_contract,batch_mint,credential,170,170,0,100,final
functional,ineligible_f06,credential,10,10,0,100,final
smart_contract,duplicate_nina,transaction,2,2,0,100,final
cryptography_ipfs,artifact_modification,artifact,6,6,0,100,final
verification,latency_final,verification,30,30,0,100,final
verification,matrix_B1_B5,decision,13,13,0,100,final
revoke,cascade_normal_first_attempt,credential,5,5,0,100,final_first_pass
revoke,cascade_with_sivil_outage_first_attempt,credential,5,0,5,0,final_expected_injected_failure
revoke,cascade_all_eventual,credential,10,10,0,100,final_with_recovery
revoke,rpc_receipt_timeout_recovery,credential,1,1,0,100,final_auxiliary_excluded_from_core
application,duplicate_nim_ui,form_submission,3,3,0,100,final
