record_id,execution_id,batch_id,batch_size,repetition,attempt,timestamp_start,timestamp_end,latency_ms,preparation_ms,confirmation_latency_ms,finalization_ms,status,phase,expected,actual,credential_count,verified_count,tx_hash,nonce,block_number,block_timestamp,confirmations,gas_estimate,gas_limit,gas_used,gas_per_credential,start_token_id,end_token_id,wallet_address,contract_address,chain_id,error_class,error_message,revert_reason,resumable,notes
batch5_rep1-A1-verified-1786223793599,batchmint-final-170-20260809,batch5_rep1,5,1,1,2026-08-08T21:16:02.813Z,2026-08-08T21:16:33.588Z,30775,24278,669,4110,pass,verified,5 token aktif,5 token aktif,5,5,0x58300115586d63c2e8e2577d8ceeef212a169f6e35e7df8bae3c13778c04bd09,118,44405350,2026-08-08T21:16:31.000Z,1,1519257,1519257,1505149,301030,1031,1035,0x80EBA46e25Ed50c09a20E90f7C398bf5aeAe3566,0x99b047a0165ef97d585aB8C3a50E3E001B9A1e54,80002,,,,yes,batchMintIjazah nyata; status kontrak dan basis data diverifikasi
batch5_rep2-A1-verified-1786223821596,batchmint-final-170-20260809,batch5_rep2,5,2,1,2026-08-08T21:16:33.604Z,2026-08-08T21:17:01.587Z,27983,21046,1438,3778,pass,verified,5 token aktif,5 token aktif,5,5,0xdfe1cae5ae34a5be8b519698d88858676ca8c3476237131be850e194559145f6,119,44405378,2026-08-08T21:16:59.000Z,1,1519270,1519270,1505161,301033,1036,1040,0x80EBA46e25Ed50c09a20E90f7C398bf5aeAe3566,0x99b047a0165ef97d585aB8C3a50E3E001B9A1e54,80002,,,,yes,batchMintIjazah nyata; status kontrak dan basis data diverifikasi
batch5_rep3-A1-verified-1786223849624,batchmint-final-170-20260809,batch5_rep3,5,3,1,2026-08-08T21:17:01.603Z,2026-08-08T21:17:29.616Z,28013,21400,676,4193,pass,verified,5 token aktif,5 token aktif,5,5,0x0cae20ec04de9836be27cffdff19c04c0c104e66d6a9e89e73b6b51a801c908b,120,44405406,2026-08-08T21:17:27.000Z,1,1519257,1519257,1505149,301030,1041,1045,0x80EBA46e25Ed50c09a20E90f7C398bf5aeAe3566,0x99b047a0165ef97d585aB8C3a50E3E001B9A1e54,80002,,,,yes,batchMintIjazah nyata; status kontrak dan basis data diverifikasi
batch10_rep1-A1-verified-1786223907910,batchmint-final-170-20260809,batch10_rep1,10,1,1,2026-08-08T21:17:29.629Z,2026-08-08T21:18:27.902Z,58273,47645,1551,7371,pass,verified,10 token aktif,10 token aktif,10,10,0xbbaad23bef0912bfef120737de3608365487fad9d189df61abbba96ad35d24df,121,44405461,2026-08-08T21:18:22.000Z,1,2976647,2976647,2951063,295107,1046,1055,0x80EBA46e25Ed50c09a20E90f7C398bf5aeAe3566,0x99b047a0165ef97d585aB8C3a50E3E001B9A1e54,80002,,,,yes,batchMintIjazah nyata; status kontrak dan basis data diverifikasi
batch10_rep2-A1-verified-1786223964054,batchmint-final-170-20260809,batch10_rep2,10,2,1,2026-08-08T21:18:27.914Z,2026-08-08T21:19:24.044Z,56130,45903,1474,7421,pass,verified,10 token aktif,10 token aktif,10,10,0xc6280c9b9248eba6120f9cde902e9950b2210f6d3e9b763d7380fb57357fb0c9,122,44405517,2026-08-08T21:19:18.000Z,1,2976647,2976647,2951063,295107,1056,1065,0x80EBA46e25Ed50c09a20E90f7C398bf5aeAe3566,0x99b047a0165ef97d585aB8C3a50E3E001B9A1e54,80002,,,,yes,batchMintIjazah nyata; status kontrak dan basis data diverifikasi
batch10_rep3-A1-verified-1786224011903,batchmint-final-170-20260809,batch10_rep3,10,3,1,2026-08-08T21:19:24.059Z,2026-08-08T21:20:11.891Z,47832,38708,943,6492,pass,verified,10 token aktif,10 token aktif,10,10,0x1f92569cc913af1838b9b640ea252c8442a354169445c023d9e1764e4f4da1f6,123,44405566,2026-08-08T21:20:07.000Z,1,2976659,2976659,2951075,295108,1066,1075,0x80EBA46e25Ed50c09a20E90f7C398bf5aeAe3566,0x99b047a0165ef97d585aB8C3a50E3E001B9A1e54,80002,,,,yes,batchMintIjazah nyata; status kontrak dan basis data diverifikasi
batch25_rep1-A1-verified-1786224128909,batchmint-final-170-20260809,batch25_rep1,25,1,1,2026-08-08T21:20:11.908Z,2026-08-08T21:22:08.900Z,116992,92208,5623,17270,pass,verified,25 token aktif,25 token aktif,25,25,0x07f8d840c1b4df0a84a7322ea0fbea302e82f46ce436a00ce5d6ad6f00f05ab9,124,44405669,2026-08-08T21:21:50.000Z,1,7348762,7348762,7288752,291551,1076,1100,0x80EBA46e25Ed50c09a20E90f7C398bf5aeAe3566,0x99b047a0165ef97d585aB8C3a50E3E001B9A1e54,80002,,,,yes,batchMintIjazah nyata; status kontrak dan basis data diverifikasi
batch25_rep2-A1-verified-1786224240830,batchmint-final-170-20260809,batch25_rep2,25,2,1,2026-08-08T21:22:08.914Z,2026-08-08T21:24:00.820Z,111906,87840,1977,20115,pass,verified,25 token aktif,25 token aktif,25,25,0xd958f81251ad4dff0a597322578187ba31dabc8c624b56f0f833404e63390bb8,125,44405781,2026-08-08T21:23:42.000Z,1,7348798,7348798,7288788,291552,1101,1125,0x80EBA46e25Ed50c09a20E90f7C398bf5aeAe3566,0x99b047a0165ef97d585aB8C3a50E3E001B9A1e54,80002,,,,yes,batchMintIjazah nyata; status kontrak dan basis data diverifikasi
batch25_rep3-A1-verified-1786224355896,batchmint-final-170-20260809,batch25_rep3,25,3,1,2026-08-08T21:24:00.835Z,2026-08-08T21:25:55.883Z,115048,92482,1634,19308,pass,verified,25 token aktif,25 token aktif,25,25,0x7725e0568b386ba586881347f5736ea22c375c1a12a67dc01a070a7f8ba33083,126,44405897,2026-08-08T21:25:38.000Z,1,7348810,7348810,7288800,291552,1126,1150,0x80EBA46e25Ed50c09a20E90f7C398bf5aeAe3566,0x99b047a0165ef97d585aB8C3a50E3E001B9A1e54,80002,,,,yes,batchMintIjazah nyata; status kontrak dan basis data diverifikasi
batch50_rep1-A1-verified-1786224584168,batchmint-final-170-20260809,batch50_rep1,50,1,1,2026-08-08T21:25:55.901Z,2026-08-08T21:29:44.157Z,228256,184547,5544,36134,pass,verified,50 token aktif,50 token aktif,50,50,0xb3e42314408291371af34b7b3cc713ab3282c9b2517a192159c44e5bce940bb9,127,44406105,2026-08-08T21:29:06.000Z,1,14636552,14636552,14519158,290384,1151,1200,0x80EBA46e25Ed50c09a20E90f7C398bf5aeAe3566,0x99b047a0165ef97d585aB8C3a50E3E001B9A1e54,80002,,,,yes,batchMintIjazah nyata; status kontrak dan basis data diverifikasi
